gps_time,lax,lay,laz,avx,avy,avz,x,y,z,w
1429447989.42218,-0.206253151885793,-0.0911425437637605,-9.62141559768021,-0.000287070783087984,0.000365568907000124,0.00130331446416676,-0.00792286172509193,-0.0162926949560642,-0.67770379781723,0.735111773014069
1429447989.43218,-0.357575749590434,-0.138057850665739,-9.9223140224874,0.000595528923440725,-0.00333213969133794,0.00237019383348525,-0.00793121382594109,-0.0163150187581778,-0.677708268165588,0.735107123851776
1429447989.44718,-0.264267387828603,-0.148439416084299,-9.68994494402707,-0.00253887451253831,-0.00379668781533837,0.00208147661760449,-0.00794023368507624,-0.0163202490657568,-0.677699685096741,0.735114812850952
1429447989.45218,-0.397623024753295,-0.165607545503601,-9.87168273640275,-0.00290470034815371,-0.00224668812006712,0.00190549402032048,-0.00796044804155827,-0.0163273513317108,-0.677711963653564,0.735103130340576
1429447989.46218,-0.33303985874895,-0.15319188044155,-9.81933880118132,-0.0016665217699483,-0.00353752635419369,0.00137595972046256,-0.00797279085963964,-0.0163388103246689,-0.677712380886078,0.735102295875549
1429447989.47718,-0.338176710180752,-0.148785745303938,-9.74148808425963,0.000518385204486549,-0.000627331668511033,0.0021781213581562,-0.00796569418162107,-0.0163397435098886,-0.677709996700287,0.735104560852051
1429447989.48218,-0.35580760740675,-0.149510908640176,-9.93700539566278,7.20460739103146e-05,-0.00253409636206925,0.0005478928796947,-0.00797412265092134,-0.0163591522723436,-0.677723705768585,0.735091388225555
1429447989.49218,-0.258465131290629,-0.107262059179274,-9.62153367110193,-0.00297952815890312,-0.000370404624845833,0.0022492571733892,-0.00797043275088072,-0.0163362249732018,-0.677711606025696,0.735103070735931
1429447989.50718,-0.346830374094471,-0.121171743925055,-9.94527404231429,-0.00231738016009331,-0.00204797717742622,0.00181864714249969,-0.00798484031111002,-0.0163409672677517,-0.677717506885529,0.735097408294678
1429447989.51218,-0.217385736601055,-0.102115024280176,-9.58415291173458,-5.87055365031119e-05,-0.000748395745176822,0.00230704271234572,-0.00796960573643446,-0.0163356885313988,-0.677702605724335,0.7351114153862
