gps_time,x,y,z,vE,vN,vU
1429448077.45575,4181963.3158684,860781.722058798,4723087.20309623,-0.903636650003041,1.72404076836385,-0.0718007772859524
1429448077.55388,4181963.20273951,860781.602712192,4723087.31311311,-0.940893527189386,1.73853905777202,-0.0824878256289073
1429448077.65613,4181963.10151225,860781.474040112,4723087.4384109,-1.0562285761672,1.76788654285851,0.0965336016670135
1429448077.7539,4181962.98764399,860781.348742555,4723087.54373435,-0.997690909877977,1.72149633446317,-0.130263758407513
1429448077.87536,4181962.88752754,860781.220513365,4723087.6527492,-1.05413005876747,1.65033642101521,-0.0167544505730741
1429448078.10271,4181962.78861068,860781.087808468,4723087.76558603,-1.10038687603069,1.67384349432655,0.0135045687779414
1429448078.1078,4181962.69328233,860780.940218572,4723087.86234093,-1.25341622214552,1.56257220823064,-0.102719921019738
1429448078.15308,4181962.60007926,860780.803380701,4723087.96016759,-1.17572257038069,1.58782728973276,-0.0913531838843199
1429448078.25578,4181962.51640843,860780.659321878,4723088.06566497,-1.24233261022673,1.53072823718727,0.0433720170915222
1429448078.35923,4181962.41534379,860780.506901336,4723088.16131496,-1.28916640953146,1.60424124068197,-0.15498610083207
1429448078.45502,4181962.32863259,860780.353100108,4723088.25683882,-1.33162734620751,1.50086449583549,-0.0638551654538264
1429448078.55768,4181962.23963127,860780.195824411,4723088.35422805,-1.36104180872121,1.53522946883961,-0.0696423654628981
1429448078.65591,4181962.16585078,860780.036956986,4723088.44850242,-1.40731856443085,1.40587938236018,0.00464259787366517
1429448078.75382,4181962.08525871,860779.869689646,4723088.53445433,-1.47586095329726,1.4125169330601,-0.113170328961614
1429448078.87637,4181962.0034687,860779.711167073,4723088.61899141,-1.38779312157898,1.39867679838636,-0.119757821822966
1429448079.09254,4181961.93308834,860779.53870439,4723088.70925562,-1.54733546673637,1.37470068895391,-0.0212568814687831
1429448079.09713,4181961.88218706,860779.37219472,4723088.79999857,-1.52829834669763,1.22700967499314,0.117795028071416
1429448079.15724,4181961.79685904,860779.199144988,4723088.87895874,-1.56234934463916,1.4059315800744,-0.256153818642446
1429448079.25685,4181961.73249064,860779.018222069,4723088.95268696,-1.64232175147754,1.23309658818199,-0.116346835120594
1429448079.35919,4181961.6711618,860778.838510312,4723089.03358369,-1.63658671357624,1.25702257775198,-0.0414869205747737
1429448079.45999,4181961.61649114,860778.659462742,4723089.11473113,-1.64350449025604,1.20917775355255,0.00484432145113534
1429448079.55849,4181961.55870334,860778.476627094,4723089.1838824,-1.67432335977107,1.15742788533193,-0.109896714765845
1429448079.65631,4181961.50761533,860778.294611101,4723089.27277319,-1.67980226154717,1.23925623187477,0.081887612861651
1429448079.75473,4181961.44705966,860778.10645445,4723089.331203,-1.72086100377924,1.11394858634836,-0.214950941235474
1429448079.88632,4181961.38825543,860777.918735101,4723089.39351979,-1.72010875326604,1.12649842857047,-0.173996329151856
1429448080.07028,4181961.3541973,860777.731906634,4723089.46336185,-1.76127255849441,0.995095371008336,0.0451323596351146
1429448080.07581,4181961.32054748,860777.543092216,4723089.52504278,-1.78154759734964,0.940572210140284,-0.0155928098746188
1429448080.15931,4181961.31022807,860777.338313453,4723089.593779,-1.8680334960207,0.916031343213313,-0.0580857952709433
1429448080.25611,4181961.27803478,860777.148848089,4723089.66535151,-1.79085990982556,0.997021860101543,0.0666639233453039
1429448080.35994,4181961.23011606,860776.959223178,4723089.70444094,-1.76071913745617,0.894837597596377,-0.278153892084573
1429448080.4565,4181961.22131636,860776.767776334,4723089.75585704,-1.85743099652781,0.694836213328567,0.0671029133089211
1429448080.55344,4181961.17948677,860776.575896433,4723089.80766777,-1.79508226021248,0.938837902858185,-0.146685385826704
1429448080.65895,4181961.17599619,860776.380136397,4723089.86515128,-1.91038114099807,0.703152196921202,0.141180429579816
1429448080.75383,4181961.16192659,860776.19140771,4723089.90665983,-1.82018290072919,0.662970075459191,-0.0374371394537399
1429448080.87609,4181961.14501295,860776.00138647,4723089.94538404,-1.8271093647409,0.667032827425771,-0.0785058305971806
1429448081.03701,4181961.14686787,860775.796610022,4723089.99053074,-2.00947139632774,0.595295116636278,0.0722266146616022
1429448081.07226,4181961.10284743,860775.597984644,4723090.00331302,-1.84537794292931,0.5751720611792,-0.204567844105449
1429448081.15484,4181961.10852602,860775.403131127,4723090.03374444,-1.91998765598717,0.454227566466003,0.00112239018450203
1429448081.2554,4181961.1037313,860775.208194654,4723090.05686071,-1.89968533165789,0.481805082164149,-0.121951235280272
1429448081.35805,4181961.1213022,860775.00833019,4723090.09666505,-1.99304426088857,0.437698116953583,0.141938918784359
1429448081.45937,4181961.11727419,860774.81092468,4723090.12018628,-1.92541461867969,0.482626847213101,-0.117246210617449
1429448081.55508,4181961.14173794,860774.61530265,4723090.15241623,-1.9653871475888,0.330494061375244,0.136400968014903
1429448081.65466,4181961.15827644,860774.415174828,4723090.1680009,-1.99354239526853,0.283799555985137,-0.0453791672225271
1429448081.75566,4181961.17734775,860774.220199619,4723090.19227774,-1.94818022236213,0.315686129273043,0.0428115320431595
1429448081.88734,4181961.21291409,860774.023507975,4723090.20808338,-1.99824730397271,0.141450067978086,0.0854097677819087
1429448082.06952,4181961.22602174,860773.823139549,4723090.22288411,-1.98898222209081,0.303926110587013,-0.0739845984269347
1429448082.07964,4181961.25484629,860773.632991658,4723090.22410785,-1.92056106534764,0.0833417229983837,-0.0583921876360745
1429448082.15421,4181961.26204294,860773.437070209,4723090.22690582,-2.01427016535756,0.167120285956031,-0.055497032616073
1429448082.25656,4181961.31740009,860773.256072349,4723090.25299816,-1.88443034836966,0.0424048624542315,0.312597979855573
