gps_time,id,sv_id,pseudorange,carrier_phase,doppler_shift,CN0,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,clkErr,predicted_multipath
1429364572.8,CC27,27,21760016.1499929,34783.7046662271,1484.3512326479,49.376296785813,15458662.357011,14533827.2089525,18105881.6263179,254.640445837939,2060.09214809038,-1867.92049717227,0.0004667035915956,0
1429364572.9,CC27,27,21760044.4273207,34932.1308713555,1483.82969200611,49.376296785813,15458687.8222781,14534033.2166692,18105694.8338677,254.650319842432,2060.06947029045,-1867.95375504514,0.000466703592118,0
1429364573.0,CC27,27,21760072.7190155,35080.5189566612,1483.9880168438,49.376296785813,15458713.2885337,14534239.2221263,18105508.0380845,254.660193483868,2060.04679207732,-1867.98701257558,0.0004667035926404,0
1429364573.2,CC27,27,21760129.1258989,35377.3744024038,1483.88557136059,49.376296785813,15458764.2240062,14534651.2262317,18105134.4365454,254.679939676149,2060.00143441475,-1868.05352660442,0.0004667035936853,0
1429364573.3,CC27,27,21760157.4168099,35525.813521415,1484.48161780834,49.376296785813,15458789.6932229,14534857.2248789,18104947.6307907,254.689812226918,2059.97875496545,-1868.0867831026,0.0004667035942077,0
1429364573.4,CC27,27,21760185.6130508,35674.2025539577,1483.78312587738,49.376296785813,15458815.1634266,14535063.221256,18104760.8217122,254.699684414116,2059.95607510411,-1868.12003925669,0.0004667035947301,0
1429364573.5,CC27,27,21760213.9272656,35822.6172281802,1484.44436490536,49.376296785813,15458840.6346186,14535269.2153743,18104574.0092999,254.709556238276,2059.93339482949,-1868.15329506849,0.0004667035952525,0
1429364573.6,CC27,27,21760242.1762942,35971.0347706079,1484.72376167774,49.376296785813,15458866.1067976,14535475.2072228,18104387.1935636,254.719427698865,2059.91071414282,-1868.18655053624,0.000466703595775,0
1429364573.7,CC27,27,21760270.381532,36119.4217124879,1484.090462327,49.4190832402861,15458891.5799641,14535681.196806,18104200.3744992,254.729298796098,2059.88803304359,-1868.21980566066,0.0004667035962974,0
1429364573.8,CC27,27,21760298.6415787,36267.8805159628,1483.59686136246,49.4190832402861,15458917.0541181,14535887.184124,18104013.5521067,254.739169529969,2059.8653515318,-1868.25306044176,0.0004667035968198,0
1429364573.9,CC27,27,21760326.8769395,36416.318723619,1483.56892168522,49.4190832402861,15458942.5292579,14536093.1691638,18103826.7263978,254.749039899856,2059.84266960888,-1868.28631487746,0.0004667035973422,0
1429364574.0,CC27,27,21760355.0846567,36564.7556598186,1484.53749716282,49.4190832402861,15458968.005385,14536299.1519375,18103639.8973616,254.758909906322,2059.81998727352,-1868.31956896969,0.0004667035978647,0
1429364574.2,CC27,27,21760411.6696725,36861.6329144239,1484.27672684193,49.4190832402861,15459018.9606005,14536711.1106832,18103266.2293102,254.778648828841,2059.77462136582,-1868.38607612325,0.0004667035989095,0
1429364574.3,CC27,27,21760439.9015203,37010.0604372621,1484.26741361618,49.4190832402861,15459044.4396881,14536917.0866494,18103079.3903003,254.788517744598,2059.75193779413,-1868.41932918364,0.0004667035994319,0
1429364574.4,CC27,27,21760468.1539179,37158.4813323319,1485.3198081255,49.4190832402861,15459069.9197631,14537123.0603517,18102892.5479611,254.798386297022,2059.72925380976,-1868.45258190091,0.0004667035999544,0
1429364574.5,CC27,27,21760496.3831078,37306.9518861771,1483.9693903923,49.4190832402861,15459095.4008245,14537329.031781,18102705.7023008,254.808254485677,2059.70656941372,-1868.48583427362,0.0004667036004768,0
1429364574.6,CC27,27,21760524.6164705,37455.4109722078,1485.32912135124,49.4190832402861,15459120.8828732,14537535.0009464,18102518.853311,254.818122310996,2059.68388460499,-1868.51908630325,0.0004667036009992,0
1429364574.7,CC27,27,21760552.8266697,37603.8660719693,1484.75170135498,49.4752333961447,15459146.3659091,14537740.9678466,18102332.0009932,254.827989772902,2059.66119938376,-1868.55233798954,0.0004667036015217,0
1429364574.8,CC27,27,21760581.0405516,37752.3170566261,1484.02526974678,49.4752333961447,15459171.8499322,14537946.932482,18102145.1453468,254.837856871417,2059.63851374995,-1868.58558933261,0.0004667036020441,0
1429364574.9,CC27,27,21760609.3477269,37900.787666142,1484.41642522812,49.4752333961447,15459197.3349434,14538152.8948601,18101958.2863651,254.84772360689,2059.61582770275,-1868.61884033364,0.0004667036025665,0
1429364575.0,CC27,27,21760637.6053547,38049.255633682,1484.4723045826,49.4752333961447,15459222.8209352,14538358.8549209,18101771.4241024,254.857589976448,2059.59314124877,-1868.65209098296,0.0004667036030889,0
1429364575.2,CC27,27,21760694.147044,38346.1911677122,1485.50607264042,49.4752333961447,15459273.7958864,14538770.7682983,18101397.6895459,254.877321627726,2059.54776709763,-1868.71859125997,0.0004667036041338,0
1429364575.3,CC27,27,21760722.2757573,38494.6578110456,1483.95076394081,49.4752333961447,15459299.284842,14538976.7215856,18101210.8172787,254.887186908031,2059.5250794037,-1868.75184088292,0.0004667036046562,0
