gps_time,x,y,z,clock_bias_m,num_sats,lat_deg,lon_deg,h_m
1429364602.5,4181977.204088583,860768.2035193639,4723081.486324772,4.096278775727141,8,48.077932793118286,11.630649030944985,552.691073396429
1429364602.6,4181978.474750663,860768.8580729223,4723081.111346836,4.689051672044178,8,48.07792132974621,11.630654196664157,553.3317566918151
1429364602.7,4181980.698125652,860769.2162352849,4723082.39408333,6.545303810891431,8,48.07791398228859,11.630652889240862,555.78940375812
1429364602.8,4181979.972434113,860768.8912179705,4723081.8712763265,5.825024866199213,8,48.07791603552605,11.630650580538648,554.8817356778454
1429364602.9,4181979.0256980397,860769.2767018384,4723080.903684516,4.679563665365877,8,48.07791590665005,11.630658208525006,553.5941722114062
1429364603.0,4181979.9097421034,860769.7750475745,4723081.203601691,5.002684049898637,8,48.07791124265241,11.630662367018155,554.4629706708151
1429364603.2,4181981.476932366,860769.6135602095,4723080.868591094,5.614310561657955,8,48.07789917685281,11.630656004642498,555.2175247501501
1429364603.3,4181980.0809605615,860768.9107173444,4723077.856824035,2.770746173750716,9,48.077891178391454,11.630650543231086,551.9684129544099
1429364603.4,4181979.549648851,860768.0435398975,4723077.378469497,2.1508359070217677,9,48.077892956140644,11.630640582617554,551.1479964852276
1429364603.5,4181981.2310485104,860767.5082642426,4723077.087218143,2.6139068302283297,9,48.07788090897249,11.630628998275347,551.9595021185803
1429364603.6,4181981.50585095,860767.4744112947,4723076.436479404,2.3759461410800267,9,48.07787524391224,11.630627809880705,551.650589010867
1429364603.7,4181983.1428132965,860768.0457861524,4723077.228759796,3.642000923717807,9,48.07786850525455,11.630630891345996,553.3882800639273
1429364603.8,4181983.2008239627,860768.0416133231,4723078.051136105,4.144641772690889,9,48.07787307169625,11.630630679559735,554.0375723152056
1429364603.9,4181982.9498082316,860767.9754943436,4723077.402479331,4.558881251221191,9,48.07787090870206,11.630630489592763,553.381765931821
1429364604.0,4181981.313568313,860767.1115072106,4723076.341189984,2.606899789262604,10,48.07787642107975,11.630623560137478,551.404977472201
1429364604.2,4181978.559199663,860767.0229683963,4723074.563581143,3.0073139828465068,10,48.07788391148986,11.630629847951301,548.2679517330217
1429364604.3,4181979.540361687,860766.8010857772,4723075.304157966,3.3482275964046844,10,48.0778822301186,11.630624277176443,549.4311685357077
1429364604.4,4181979.848354123,860766.3037301181,4723075.774474826,3.945416793157351,9,48.07788370829057,11.630616906804628,549.9156695505231
1429364604.5,4181979.9737605173,860766.5347082412,4723075.142875294,3.472215217980576,9,48.07787878007481,11.630619603465693,549.558903102626
1429364604.6,4181981.51877899,860766.8206626932,4723075.38247801,3.9713460245470866,9,48.077869708398175,11.630619182169571,550.7867596546243
1429364604.7,4181983.658335469,860766.3013321256,4723077.094228261,5.888685123021273,9,48.077866671541635,11.630606567943818,553.3905727741878
1429364604.8,4181982.65558181,860766.5061389379,4723075.848309731,4.274358714338943,9,48.07786548125692,11.630611972681892,551.8349249501008
1429364604.9,4181981.070210003,860766.5270904704,4723074.761990677,2.4927466170048422,9,48.077869316163785,11.630616537054644,549.991997059795
1429364605.0,4181981.8996314537,860766.376565397,4723074.743308029,2.7032508571606386,9,48.077863971215876,11.63061231470619,550.5005963985219
1429364605.2,4181984.300696481,860766.5106066511,4723074.236890229,3.6203668395300586,9,48.07784501198979,11.630607580792224,551.7131111473362
1429364605.3,4181984.054825244,860766.1806427976,4723073.895807568,3.2371340475633783,9,48.077845019148604,11.630603908985524,551.2539846940705
1429364605.4,4181984.573189856,860766.2062288587,4723073.183568447,3.1772574147647337,9,48.07783730817803,11.630602842926109,551.0667061799007
1429364605.5,4181983.9658617475,860766.3234065699,4723071.050229338,1.6085981527337299,9,48.077828312806226,11.630606026119448,549.0977347041121
1429364605.6,4181983.989281699,860766.2683940185,4723071.351493801,1.608603437170099,9,48.07783004358501,11.630605239687045,549.3298076743173
1429364605.7,4181985.396168722,860766.5175353683,4723071.771749713,2.760573578838557,9,48.07782301224177,11.630604708226896,550.5967285647832
1429364605.8,4181983.5868470357,860766.1767708097,4723070.52004097,0.9680667796280304,9,48.07782780906008,11.630605124137528,548.4354673226899
1429364605.9,4181982.5905572316,860765.6594612015,4723070.455409643,0.3122601088326729,9,48.07783464789476,11.630601020040997,547.6657252822969
1429364606.0,4181982.9500322645,860765.480849232,4723069.309992154,0.13282343056927817,9,48.07782565105078,11.630597699897146,547.0246572968563
1429364606.3,4181983.360518941,860765.4139736544,4723068.852291248,-0.20901213027705254,9,48.07782030111061,11.630595710389205,546.9437193773304
1429364606.4,4181983.1662629563,860765.6027555516,4723067.162865197,-1.8370420894500785,10,48.07781116912719,11.630598717228867,545.5850031210186
1429364606.5,4181984.8762747715,860766.1925891226,4723067.473493836,-0.8595300398970778,10,48.077801032977725,11.630601843698066,547.0146106698566
1429364606.6,4181985.713847105,860764.5162448075,4723066.6245737905,2.047249566368301,10,48.07779270458202,11.630577544267892,546.7052860690726
1429364606.7,4181982.057336581,860761.9022826405,4723066.09806182,1.0451782043519677,10,48.077817030731126,11.630553079002883,543.5686187460024
1429364606.8,4181982.2263242365,860763.5309904009,4723059.746245108,1.5533663233686898,10,48.077775563186336,11.630574029236977,539.1724947846494
1429364606.9,4181980.958643813,860763.0861673674,4723059.072603793,3.8214181106897183,10,48.07778042378374,11.63057161208469,537.7817813491473
1429364607.0,4181982.2029750366,860763.0485610088,4723059.510187526,3.9947109314960074,10,48.077774948681714,11.630567751451244,538.9165956168929
1429364607.3,4181982.9948187666,860763.9615402333,4723057.958711166,3.5068668293674476,10,48.07775920606209,11.630577609253224,538.4033736752184
1429364607.4,4181984.5581856496,860764.177970082,4723057.775437295,4.144558141409378,10,48.077747567190535,11.630576224517425,539.3192328576049
1429364607.5,4181983.7890925813,860764.3497244578,4723057.547779308,3.6441001494091916,10,48.077751008062855,11.63058056268158,538.6696804546099
1429364607.6,4181986.695315779,860764.8869494001,4723058.363329784,5.533310122372118,10,48.07773613700352,11.630579761519718,541.2506963191855
1429364607.7,4181988.018870592,860765.4933233976,4723058.695537986,6.163012289094216,10,48.077728640912824,11.630584150896468,542.4456905642343
1429364607.8,4181987.078973758,860765.7139357933,4723059.335714927,5.06170113014673,10,48.077738349407014,11.63058959332015,542.3366586189796
1429364607.9,4181986.9652396133,860766.2161310097,4723059.926549378,4.831507256507987,10,48.0777419672227,11.630596501752878,542.7694848159973
1429364608.0,4181986.0727472175,860766.6479665482,4723060.707309993,4.218565704074003,10,48.07775192477753,11.630604592205362,542.8245268944645
1429364608.3,4181992.1896956326,860766.8454446826,4723061.089483497,4.159471060900197,10,48.07771386622843,11.630590639360044,547.1384367103884
1429364608.4,4181991.518557168,860766.9364296404,4723060.556956146,2.916789763856449,10,48.077714942362505,11.630593650903558,546.3152682724651
1429364608.5,4181991.9141538884,860767.5483419868,4723060.649183489,2.7099716758633217,10,48.07771207846298,11.630600623509872,546.7251912119888
1429364608.6,4181992.834311605,860767.4022526643,4723060.919988242,2.7333199270876043,10,48.0777078721905,11.63059621400487,547.5091614660874
1429364608.7,4181993.5360730737,860767.9814633388,4723061.499392716,2.92419571992419,10,48.07770597297432,11.630601928505163,548.4775201253441
1429364608.8,4181994.681980995,860768.1418667135,4723061.645825804,3.3569594628958774,10,48.077699126532096,11.630600936734911,549.3579661232766
1429364608.9,4181995.4069616906,860768.5944524105,4723061.465413141,3.08897915249099,10,48.07769268080811,11.630604924088578,549.7591208596073
1429364609.0,4181994.7877242886,860768.9927674631,4723061.6940475665,1.6461031878999677,10,48.07769757545928,11.630611834692255,549.5776558591031
1429364609.3,4181999.154792592,860770.785737509,4723062.683261799,3.7220925849924202,10,48.07767248010938,11.63062358661164,553.4130132358757
1429364609.4,4181997.7211850877,860771.1971722131,4723061.5385334985,1.92193927711532,10,48.07767444268471,11.63063287280528,551.6785356597089
1429364609.5,4181998.9809423676,860771.5890570991,4723061.833397892,2.3579346085484896,10,48.07766742968063,11.63063461555801,552.7751053776727
1429364609.6,4181999.8907354316,860772.0475501921,4723061.665725935,2.918979176376605,10,48.07765984134847,11.63063818056451,553.3074781108556
1429364609.7,4181998.5667129047,860772.3169835126,4723060.966207896,1.7605278120785262,10,48.077663952208404,11.630645303866046,551.9568458610245
1429364609.8,4181997.630572696,860772.7134566283,4723060.556833162,1.2213871281566384,10,48.07766709290705,11.630653047591858,551.0930386613634
1429364609.9,4182001.2008933434,860775.6347064809,4723058.97655569,5.131085170399397,10,48.07763025913292,11.630681784739968,552.6471438856382
1429364610.3,4181997.433001963,860775.7035291798,4723060.715483163,1.9485011810086588,11,48.077665307533906,11.630692882820668,551.4845392330395
1429364610.4,4181997.8239255855,860775.72916275,4723061.9904318005,2.84720774704774,10,48.07767037115395,11.630692162152464,552.6924411089718
1429364610.5,4181997.554421216,860775.552517901,4723061.953284957,2.591995329838826,10,48.07767215248201,11.630690569485497,552.4646439189447
1429364610.6,4181997.456772963,860775.3891371744,4723062.468575709,2.2933265749444844,10,48.0776761088,11.630688686225913,552.7621386173067
1429364610.7,4181998.0437359745,860775.9708399548,4723061.240432924,1.9590004894617938,10,48.077664098435825,11.630694744027307,552.3108012099608
1429364610.8,4181998.4928664896,860776.1385490494,4723059.725948352,1.4607604771376894,10,48.07765182941646,11.630695733291189,551.5004499715271
1429364610.9,4181997.9369733413,860776.3033824858,4723059.176665144,1.8052165816885326,10,48.07765194997411,11.63069940370934,550.7501785715623
1429364611.0,4181997.358704702,860775.7954360906,4723058.621703854,1.2432200684220103,10,48.07765309058891,11.630694291821722,549.8904194338921
1429364611.2,4181997.6752968645,860776.9902958119,4723060.021569362,3.5492236251367877,9,48.07765781467974,11.630709140245068,551.3001122772936
