gps_time,roll,pitch,yaw
1429448329.24035,0,-3.015747,212.8087
1429448329.29655,0,-3.000244,211.2028
1429448329.40141,0,-3.321838,209.6697
1429448329.50228,0,-3.342438,208.4317
1429448329.60062,0,-2.542816,207.2516
1429448329.69854,0,-3.223602,206.1762
1429448329.79902,0,-3.435608,204.538
1429448329.89696,0,-2.972168,203.7756
1429448330.03063,0,-2.174133,202.9155
1429448330.23071,0,-3.035858,202.2269
1429448330.24694,0,-3.241821,200.9132
1429448330.29739,0,-2.818268,200.3409
1429448330.39814,0,-3.424957,199.3054
1429448330.50136,0,-2.32312,198.9592
1429448330.60085,0,-3.582855,198.2254
1429448330.69883,0,-3.424408,197.4276
1429448330.7986,0,-2.648987,197.0339
1429448330.89836,0,-3.775452,196.635
1429448331.02275,0,-2.940887,196.1223
1429448331.22406,0,-3.068787,195.7061
1429448331.22833,0,-3.222076,194.8716
1429448331.2959,0,-3.026825,194.3441
1429448331.39784,0,-2.240479,194.3802
1429448331.50235,0,-2.922241,193.9372
1429448331.60165,0,-3.158691,193.6007
1429448331.69699,0,-2.556183,193.2358
1429448331.80218,0,-2.775055,193.0823
1429448331.8971,0,-2.658112,193.1854
1429448332.0203,0,-2.064911,192.9131
1429448332.24153,0,-2.847717,192.4598
1429448332.2474,0,-2.83255,192.3561
1429448332.29823,0,-2.312408,192.3223
1429448332.40058,0,-3.098297,191.854
1429448332.50787,0,-2.123138,192.0838
1429448332.59886,0,-3.237274,191.6034
1429448332.69669,0,-2.418365,191.3807
1429448332.80015,0,-2.895599,191.3238
1429448332.89631,0,-3.109589,191.2709
1429448333.02038,0,-2.656799,191.5215
1429448333.23949,0,-3.25116,190.9395
1429448333.26022,0,-2.458069,191.5419
1429448333.2969,0,-2.524261,191.1364
1429448333.39927,0,-3.316376,191.5777
1429448333.50742,0,-3.340576,190.9553
1429448333.59977,0,-3.446075,191.5359
1429448333.69935,0,-2.979889,192.0019
1429448333.79792,0,-2.839081,191.772
1429448333.89831,0,-2.953125,192.0155
1429448334.01867,0,-3.21637,191.6018
1429448334.24864,0,-2.29483,192.4839
1429448334.25305,0,-2.38269,192.6505
1429448334.3016,0,-2.093994,192.5079
1429448334.39912,0,-3.248016,192.249
1429448334.5023,0,-2.398285,192.7764
1429448334.60024,0,-3.078918,192.8157
1429448334.69661,0,-3.009094,192.6516
1429448334.79997,0,-3.552185,192.7032
1429448334.89911,0,-2.882477,193.0591
1429448335.02257,0,-2.695343,192.9712
1429448335.23058,0,-2.600037,193.3311
1429448335.23545,0,-2.76178,192.6811
1429448335.29724,0,-2.431915,192.8612
1429448335.39981,0,-2.156219,192.9543
1429448335.50144,0,-1.422363,193.098
1429448335.59907,0,-2.786224,193.0939
1429448335.69841,0,-1.460114,193.2999
1429448335.79791,0,-2.554382,193.1017
1429448335.89529,0,-2.289154,192.729
