gps_time,x,y,z,vE,vN,vU
1429448387.89801,4181981.06159784,860782.454569368,4723071.76918377,0.438431859932867,2.30408787928227,0.0034203938014294
1429448388.0197,4181980.87012413,860782.47753435,4723071.91439605,0.610951230782068,2.33117607966362,-0.141623891993507
1429448388.20503,4181980.70111091,860782.482599605,4723072.07678126,0.390347114440353,2.3090754500999,0.10902415176437
1429448388.21651,4181980.50557608,860782.497427667,4723072.22534783,0.539439461805584,2.39538925082654,-0.154202218550552
1429448388.29732,4181980.35923216,860782.50448233,4723072.40159235,0.470426712129584,2.3222670102124,0.0498462329219562
1429448388.40152,4181980.1847113,860782.515021735,4723072.56404296,0.455068522778106,2.34143965366588,0.0808419783653032
1429448388.50107,4181979.99851647,860782.528745067,4723072.71875681,0.509789292657437,2.3700499188867,-0.0488300051460873
1429448388.59997,4181979.81211484,860782.543527696,4723072.8691959,0.5205817220352,2.34140713805524,-0.0805629657543294
1429448388.6963,4181979.6327024,860782.553224314,4723073.02752138,0.456675190896024,2.3507916001806,0.0170029546505177
1429448388.79934,4181979.45753995,860782.567588597,4723073.18544579,0.4938257191117,2.31013727689383,0.0481178771374846
1429448388.89765,4181979.27466042,860782.581970133,4723073.33701361,0.509552497777714,2.32388186416957,-0.049656067464384
1429448389.02127,4181979.07060803,860782.591794259,4723073.48867471,0.507598750940929,2.48564491030299,-0.193656533566834
1429448389.23156,4181978.90537541,860782.604057801,4723073.6440428,0.453230743446724,2.22384232293914,0.0912491804230979
1429448389.23944,4181978.720341,860782.619436884,4723073.79755301,0.523667508071159,2.35106740996877,-0.0479617240407504
1429448389.2976,4181978.54060309,860782.629701914,4723073.96046899,0.518819505963705,2.36780939491257,-0.0776518870035812
1429448389.40055,4181978.36691169,860782.638998438,4723074.12634511,0.441222629359096,2.36014574046062,0.110083333779836
1429448389.50475,4181978.20240128,860782.652026127,4723074.29067559,0.459259390248263,2.27731287256922,0.163689385570511
1429448389.60164,4181978.00622792,860782.664057804,4723074.441638,0.51333686260224,2.42024466275043,-0.144321000868427
1429448389.69684,4181977.82080343,860782.682469351,4723074.59129164,0.554156135616085,2.32359470580266,-0.0751247656849845
1429448389.80183,4181977.65085511,860782.688245509,4723074.75661647,0.399195395165562,2.33446424035526,0.125734728404995
1429448389.89565,4181977.46624728,860782.701434566,4723074.90567853,0.501356760618102,2.32152442497226,-0.0812165175271966
1429448390.2383,4181977.27394516,860782.714997222,4723075.05834886,0.520527934668227,2.40114640458964,-0.104217567111067
1429448390.24571,4181977.10788407,860782.725056906,4723075.22514835,0.4333220815317,2.30956017065149,0.167921681034173
1429448390.25151,4181976.91956919,860782.736919343,4723075.37801292,0.495844683587045,2.37593479541566,-0.0789623884088233
1429448390.29737,4181976.70872502,860782.760855843,4723075.51577691,0.526896128401933,2.35564141972914,-0.0611552693647288
1429448390.39989,4181976.5323105,860782.769895491,4723075.68024249,0.44420427437496,2.37095066722306,0.0814292481407861
1429448390.5035,4181976.35233222,860782.779148675,4723075.84327342,0.453480609993781,2.3870172261741,0.0477210157375931
1429448390.60087,4181976.16859678,860782.793732058,4723075.99142748,0.513263202149462,2.30700700775479,-0.0803782125191146
1429448390.69864,4181975.9889695,860782.80800448,4723076.14718482,0.501935072078341,2.32833331017485,0.0026592464103669
1429448390.80001,4181975.80404119,860782.815072789,4723076.30099049,0.442059923985686,2.36473331550723,-0.0562559012920381
1429448390.90445,4181975.63705205,860782.831086615,4723076.46587022,0.493512344175895,2.29456569126254,0.155584553786813
1429448391.03065,4181975.43589625,860782.853606131,4723076.60713367,0.626116131145143,2.37602073330657,-0.23495741727174
1429448391.2433,4181975.26307985,860782.861941843,4723076.7744817,0.430055396817868,2.36504265021256,0.125474129488754
1429448391.24961,4181975.08477205,860782.873866472,4723076.92894769,0.476278901335401,2.31361127427825,-0.0014767342738684
1429448391.29672,4181974.90033807,860782.885435858,4723077.08618585,0.518123345463671,2.37392261890477,-0.0346865336172719
1429448391.39828,4181974.71821657,860782.899552427,4723077.24578548,0.505437059830899,2.37241583462561,0.0147158042948501
1429448391.50207,4181974.5396576,860782.902658407,4723077.40043152,0.390408919496548,2.32987324050818,-0.0136590754232768
1429448391.59825,4181974.35254233,860782.920403809,4723077.54669748,0.551048310161893,2.31428041313204,-0.112285284957613
1429448391.69642,4181974.16817504,860782.931301857,4723077.70966976,0.478440146218307,2.41614424805527,0.0207784754678992
1429448391.79956,4181973.98899915,860782.941940956,4723077.86508632,0.465437595795504,2.32821703417103,-0.001816381048459
1429448391.8951,4181973.80938822,860782.951345798,4723078.01960406,0.454225455040449,2.32723382208078,-0.0130134326689668
1429448392.02643,4181973.63224055,860782.966691658,4723078.1813007,0.507450065157639,2.34833413520186,0.064523325653127
1429448392.26868,4181973.44784474,860782.97554136,4723078.33711488,0.45843464317657,2.37159965746303,-0.0354273256378665
1429448392.27815,4181973.26805414,860782.987812897,4723078.4880191,0.482666203851831,2.30010014421449,-0.0372144430270329
1429448392.30163,4181973.0962298,860783.001032078,4723078.6497171,0.475887615567622,2.3127379409055,0.0965048197949203
1429448392.40166,4181972.90463569,860783.012787175,4723078.80335505,0.502519682247923,2.41121004555722,-0.0906643785089543
1429448392.50359,4181972.72584045,860783.030943563,4723078.95642561,0.538300081494219,2.29849243570875,-0.0066553811274188
1429448392.60037,4181972.54865965,860783.039497097,4723079.12440414,0.440987802218232,2.40073533624923,0.101898177121077
1429448392.69602,4181972.36523149,860783.047777123,4723079.27302609,0.450903957847465,2.31734911790898,-0.0833764279194074
1429448392.80215,4181972.18002787,860783.062107253,4723079.42987195,0.51374260371641,2.37615876189,-0.0256554870098922
1429448392.89647,4181971.99647546,860783.076384765,4723079.58374852,0.509898245504336,2.34436540827165,-0.0370139127703348
1429448393.02234,4181971.81547424,860783.086940512,4723079.74237554,0.468301182916244,2.36309463954276,0.0100139107400929
1429448393.20413,4181971.64329193,860783.098933806,4723079.90056101,0.464602076556872,2.2937176399382,0.0663759784328815
1429448393.20922,4181971.45803146,860783.111867981,4723080.05094139,0.5001841834948,2.33546951991391,-0.0760144206685258
1429448393.29553,4181971.27787786,860783.13034563,4723080.21832647,0.574470392002639,2.37214643817375,-0.0254830244466477
1429448393.39798,4181971.10254543,860783.143379426,4723080.38152456,0.481144373256582,2.34860483893718,0.0844596404434488
1429448393.50087,4181970.91401624,860783.157497786,4723080.5262368,0.51837291168522,2.31964483065634,-0.137983868082836
1429448393.59997,4181970.73242454,860783.175629948,4723080.68794065,0.543700645963452,2.37658993003959,0.0392481307931729
1429448393.69761,4181970.55948322,860783.191972391,4723080.8445923,0.508731057036125,2.28247729514777,0.0558547465149279
1429448393.79881,4181970.36948447,860783.209687255,4723080.9942308,0.556562475761509,2.35787328807304,-0.106102422093891
1429448393.897,4181970.17709426,860783.229600327,4723081.14818781,0.582914680718942,2.4008574085456,-0.0866590781138563
1429448394.02572,4181969.99907248,860783.247603323,4723081.29994954,0.53523829637315,2.28434104311442,-0.0115388981219156
1429448394.2336,4181969.8331696,860783.256298644,4723081.46990407,0.419639542999368,2.33153344761279,0.1905944951462
1429448394.24185,4181969.64426227,860783.275420344,4723081.62268483,0.568141690326676,2.36880306153625,-0.0736850834120961
1429448394.29783,4181969.46099617,860783.284141192,4723081.77360878,0.542377904430773,2.30435003376196,-0.161980546186172
1429448394.40139,4181969.28297356,860783.300992332,4723081.9348562,0.523957818566089,2.34945117575455,0.0574829069332001
1429448394.50256,4181969.09614891,860783.324654271,4723082.09478937,0.608413331377166,2.39460133552943,-0.0007226820972752
1429448394.60105,4181968.91720944,860783.341641702,4723082.24969069,0.527141216181248,2.31352878668636,0.0044481227913191
1429448394.69692,4181968.73447859,860783.357252736,4723082.40581913,0.521303446789933,2.35142297791979,-0.013086314840546
1429448394.80048,4181968.54369135,860783.377863057,4723082.56171385,0.586512365792024,2.4010756229445,-0.0608125389817507
1429448394.89718,4181968.36167245,860783.392774283,4723082.71655085,0.513013647994768,2.33865571231655,-0.0189788502493846
1429448395.02381,4181968.17821986,860783.400637391,4723082.87567849,0.446869626778459,2.38834369537343,-0.0059299049417695
1429448395.24172,4181967.99825387,860783.415652993,4723083.03465374,0.509897200811857,2.3511866532452,0.0253867228138689
1429448395.24902,4181967.81089821,860783.422681509,4723083.19083696,0.446563844052243,2.39836804522866,-0.0545038408033727
1429448395.2969,4181967.61387439,860783.434194529,4723083.33452885,0.407869401824605,2.40170958150366,-0.0257198472505391
1429448395.40105,4181967.42551084,860783.429773071,4723083.48791642,0.336446315455313,2.40421055720551,-0.0973233294729219
1429448395.50203,4181967.23850006,860783.428637896,4723083.64906563,0.365907318288226,2.44127966107926,-0.026293485223942
1429448395.60044,4181967.05927243,860783.424564224,4723083.81064079,0.321434188838358,2.39181136308686,0.0238507006604849
1429448395.69809,4181966.87180143,860783.410509552,4723083.97110062,0.240292056348962,2.45940773693809,-0.0518366325766311
1429448395.79841,4181966.68652373,860783.399947712,4723084.13199043,0.270081610602186,2.44105675436488,-0.0295797146813652
1429448395.90052,4181966.49617733,860783.378328708,4723084.28406302,0.171998411488092,2.4356729575154,-0.143247738841111
1429448396.02264,4181966.31053758,860783.362281784,4723084.44486566,0.217086541489997,2.45134083373708,-0.0399857285615728
1429448396.25147,4181966.13164707,860783.337471019,4723084.60773871,0.11764011734707,2.4291328896291,0.0077817548929357
1429448396.25681,4181965.94500731,860783.301875249,4723084.77330358,0.0276268133389992,2.51977088112226,-0.037427886046661
1429448396.29676,4181965.76697161,860783.270844199,4723084.95680031,0.0759764704846402,2.51242204705674,-0.0379660521932685
1429448396.40256,4181965.56435513,860783.230109701,4723085.10242181,0.0095044342789955,2.51066800043127,-0.297290804595791
1429448396.50152,4181965.39197104,860783.185515149,4723085.269421,-0.0892542854733543,2.43895999662903,0.0544125177411805
1429448396.5989,4181965.22078334,860783.138227184,4723085.43056185,-0.118047550421121,2.39514013415852,0.0150245250264607
1429448396.69882,4181965.03093464,860783.072140985,4723085.58774521,-0.264549527453746,2.53289561032053,-0.161859696078983
1429448396.80127,4181964.84575274,860783.009556445,4723085.74167034,-0.239660296532678,2.47186299678007,-0.150846383320729
1429448396.89726,4181964.68187383,860782.926827335,4723085.90171142,-0.479919300423596,2.38769123048613,0.0069325487569587
1429448397.02277,4181964.50462569,860782.846812199,4723086.05623371,-0.426383388280403,2.4441800365829,-0.117962987635311
1429448397.26746,4181964.33639279,860782.758591845,4723086.2104535,-0.524926673422233,2.3887659657475,-0.0722700679092898
